title,category,method,tok_s,tok_s_std,tok_s_repeat_std,speedup_batch,speedup_prompt,speedup_prompt_std,accept_len,accept_len_std,accept_pct,accept_pct_std,draft_per_output,draft_per_output_std,verified_per_output,verified_per_output_std,ms_per_output,ms_per_output_std,ms_per_output_repeat_std,root_top1,root_top1_std,root_top5,root_top5_std,model_load_ms,model_load_ms_std,prepare_ms,prepare_ms_std,prefill_ms,prefill_ms_std,draft_setup_ms,draft_setup_ms_std,draft_ms,draft_ms_std,verify_ms,verify_ms_std,learn_ms,learn_ms_std,overhead_ms,overhead_ms_std,match
specbench / int4_genai (n=20),multi-turn conversation,token_recycling,206.8607,69.3034,0.0000,0.7439,0.8080,0.2713,1.5883,0.6875,0.2497,0.2420,1.3785,0.3673,2.0961,0.5155,5.2501,1.3344,0.0000,0.3493,0.2178,0.4678,0.1990,11394.01,0.00,0.27,0.06,4.89,0.36,0.00,0.00,0.01,0.00,3.33,0.44,1.33,0.24,2.85,0.25,0.8277
specbench / int4_genai (n=20),multi-turn conversation,suffix_recycle,231.1071,96.3474,0.0000,0.7939,0.9022,0.3744,1.8161,0.9459,0.3170,0.2908,1.2781,0.3204,1.9422,0.5018,4.9193,1.5540,0.0000,0.3870,0.2447,0.5116,0.2070,11394.01,0.00,0.27,0.06,4.94,0.36,0.00,0.00,0.04,0.01,3.42,0.46,1.34,0.25,2.83,0.22,0.8762
specbench / int4_genai (n=20),multi-turn conversation,suffix_recycle_merge,224.1492,96.0259,0.0000,0.7721,0.8749,0.3729,1.8161,0.9459,0.3170,0.2908,1.2781,0.3204,1.9422,0.5018,5.0582,1.5185,0.0000,0.3870,0.2447,0.5116,0.2070,11394.01,0.00,0.27,0.06,4.94,0.36,0.00,0.00,0.20,0.70,3.44,0.44,1.36,0.24,2.90,0.17,0.8762
specbench / int4_genai (n=20),multi-turn conversation,suffix_recycle_tail,228.3986,96.4257,0.0000,0.7837,0.8917,0.3750,1.8179,0.9501,0.2925,0.2773,1.4262,0.4038,2.0906,0.5830,4.9836,1.5674,0.0000,0.3810,0.2407,0.5182,0.2047,11394.01,0.00,0.27,0.06,4.94,0.35,0.00,0.00,0.04,0.01,3.45,0.45,1.42,0.25,2.82,0.14,0.9035
specbench / int4_genai (n=20),multi-turn conversation,pld_recycle,229.3594,103.1303,0.0000,0.7745,0.8954,0.4020,1.8651,1.0189,0.2818,0.2875,1.6223,0.4675,2.2824,0.6840,5.0428,1.6557,0.0000,0.3647,0.2586,0.4793,0.2148,11394.01,0.00,0.27,0.06,4.95,0.36,0.00,0.00,0.04,0.01,3.49,0.45,1.52,0.25,2.83,0.17,0.9406
specbench / int4_genai (n=20),multi-turn conversation,rest,232.4173,15.9749,0.0000,0.9036,0.9079,0.0702,1.0228,0.0318,0.0405,0.0531,0.5473,0.3493,1.5258,0.3466,4.3224,0.3036,0.0000,0.1217,0.1186,0.2907,0.2163,11394.01,0.00,0.27,0.06,4.96,0.35,0.52,0.38,0.01,0.00,1.94,0.24,0.00,0.00,2.46,0.16,0.9004
specbench / int4_genai (n=20),multi-turn conversation,suffix_decoding,306.2350,107.3259,0.0000,1.0930,1.1955,0.4183,1.6802,0.8959,0.4419,0.2972,0.5566,0.2035,1.2773,0.1446,3.5733,0.9505,0.0000,0.4871,0.2508,0.6069,0.2118,11394.01,0.00,0.27,0.06,4.95,0.41,0.00,0.00,0.03,0.01,2.54,0.62,0.00,0.00,2.66,0.27,0.8758
specbench / int4_genai (n=20),multi-turn conversation,sam_decoding,306.9285,114.4682,0.0000,1.0794,1.1982,0.4457,1.6802,0.8959,0.4419,0.2972,0.5566,0.2035,1.2773,0.1446,3.6184,1.0487,0.0000,0.4871,0.2508,0.6069,0.2118,11394.01,0.00,0.27,0.06,4.94,0.42,0.00,0.00,0.03,0.01,2.54,0.60,0.00,0.00,2.67,0.22,0.8758
specbench / int4_genai (n=20),multi-turn conversation,stand,217.3500,77.8330,0.0000,0.7693,0.8481,0.3005,1.6020,0.7430,0.3624,0.2882,0.6980,0.1332,1.4266,0.1777,5.0767,1.4234,0.0000,0.3334,0.2176,0.4578,0.2065,11394.01,0.00,0.27,0.06,4.89,0.34,0.00,0.00,0.02,0.00,3.34,0.39,1.00,0.29,2.81,0.15,0.8797
specbench / int4_genai (n=20),multi-turn conversation,asam,301.5672,105.6342,0.0000,1.0745,1.1776,0.4126,1.6545,0.8679,0.4872,0.2952,0.4594,0.2190,1.1875,0.0785,3.6348,0.9812,0.0000,0.4974,0.2522,0.6184,0.2089,11394.01,0.00,0.27,0.06,4.97,0.37,0.00,0.00,0.03,0.01,2.55,0.61,0.00,0.00,2.66,0.20,0.8762
specbench / int4_genai (n=20),multi-turn conversation,asam_verify,237.9017,20.3078,0.0000,0.9227,0.9292,0.0851,1.2872,0.2955,0.5412,0.2833,0.3000,0.1307,1.1117,0.0667,4.2327,0.3620,0.0000,0.5438,0.2819,0.6648,0.2227,11394.01,0.00,0.27,0.06,4.89,0.34,0.00,0.00,0.03,0.01,2.67,0.72,0.00,0.00,2.66,0.21,0.8762
specbench / int4_genai (n=20),multi-turn conversation,asd,301.1415,110.5851,0.0000,1.0630,1.1757,0.4309,1.6545,0.8679,0.4872,0.2952,0.4594,0.2190,1.1875,0.0785,3.6742,1.0417,0.0000,0.4974,0.2522,0.6184,0.2089,11394.01,0.00,0.27,0.06,4.88,0.35,0.00,0.00,0.03,0.01,2.56,0.60,0.00,0.00,2.68,0.23,0.8762
specbench / int4_genai (n=20),multi-turn conversation,asd_verify,239.1129,18.4776,0.0000,0.9286,0.9339,0.0784,1.2872,0.2955,0.5412,0.2833,0.3000,0.1307,1.1117,0.0667,4.2058,0.3234,0.0000,0.5438,0.2819,0.6648,0.2227,11394.01,0.00,0.27,0.06,4.89,0.35,0.00,0.00,0.03,0.01,2.67,0.72,0.00,0.00,2.64,0.21,0.8762
